Set,Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation/Logic
Set1,1,Shadow mask technique is used by:,LCD displays,CRT (Cathode Ray Tube) displays,OLED screens,Plasma TVs,b,"Shadow mask is used in CRT displays to direct electron beams to correct phosphor dots."
Set1,2,"E-MOSFET drain current in saturation (ignore channel-length modulation):","Id = (1/2) μn Cox (W/L) (VGS - VTH)/2","Id = K VDS (VGS - VTH) - (1/2) K VDS^2","Id = VGS / RDS","Id = β (VGS - VTH) VDS",a,"Standard square-law equation: Id = K (VGS - VT)^2, with K = (1/2)μn Cox (W/L)."
Set1,3,Typical geographic scope of a LAN:,Up to 100 meters,Up to 1 km,Up to 10 km,Unlimited,b,"LAN typically covers up to 1 km (e.g., a campus or large building)."
Set1,4,NEC Code of Conduct falls under which clause and section?,Clause 4 Section 2,Clause 3 Section 1,Clause 5 Section 3,Clause 2 Section 4,[Not provided in source],Answer not found in the provided hints.
Set1,5,"In TCL, what synchronizes sender/receiver when their data rates differ?",Error control,Sliding window protocol,Congestion control,Sequence numbering,b,"Sliding window protocol handles flow control and synchronization when data rates differ."
Set1,6,Output of a bridge rectifier for a 50 Hz AC input:,50 Hz DC,100 Hz pulsating DC,50 Hz AC,100 Hz AC,b,"Bridge rectifier produces pulsating DC at twice the input frequency (100 Hz)."
Set2,24,"In control-system terms, the human hand acts as a(n):",Sensor,Controller,Actuator,Processor,c,"The hand performs physical actions (actuator) based on commands from the brain."
Set2,25,A common parsing strategy used in compilers:,Top-down parsing,Bottom-up parsing,Left-to-right parsing,Right-to-left parsing,a,"Top-down (recursive descent) and bottom-up (shift-reduce) are both common; top-down is often cited."
Set2,26,Basic classification of memory/storage:,Volatile (RAM) and Non-volatile (ROM/Flash),Primary and Secondary,Cache and Register,Optical and Magnetic,a,"The most basic classification is volatile vs non-volatile."
Set2,27,Typical NLP processing pipeline:,"Tokenization → POS Tagging → Parsing → Semantic Analysis","Parsing → Tokenization → Chunking → NER","Semantic Analysis → Tokenization → Sentiment Analysis","Chunking → POS Tagging → Tokenization → Coreference",a,"Standard order: Tokenization → POS Tagging → Parsing → Semantic Analysis."
Set2,28,"Which logic gate is often used to detect overflow/parity?",AND,OR,XOR,NAND,c,"XOR gate detects differences (e.g., parity generation/checking, overflow)."
Set2,29,"Which array represents a min-heap (1-based index, parent ≤ children)?","[2, 1, 3, 4]","[1, 3, 2, 4]","[3, 1, 2, 4]","[2, 3, 4, 1]",b,"1 ≤ 3 and 1 ≤ 2; 3 ≤ 4? Actually 3 ≤ 4 yes – valid min-heap."
Set2,30,IEEE standard for Ethernet:,802.11,802.3,802.15,802.16,b,"IEEE 802.3 is the standard for Ethernet."
Set2,31,"The concept of pipelining in computer architecture is also known as:",Multitasking,Parallel processing,Assembly line operation,Caching,c,"Pipelining processes instructions in stages like an assembly line."
Set2,32,"MOSFET saturation current (enhancement NMOS; ignore λ)","Id = K (VGS - VT)^2 with K = (1/2)μn Cox (W/L)","Id = K VDS (VGS - VT) - (1/2) K VDS^2","Id = K VGS","Id = 0",a,"Standard square-law saturation current formula."
Set2,33,Typical radius of a microcell:,10-50 km,1-30 km,0.1-1 km,10-100 m,c,"Microcells cover neighborhood-scale areas (0.1 to 1 km)."
Set2,34,"For unsigned x, x << 3 is equivalent to:",x × 8,x + 8,x + 3,x - 3,a,"Left shift by 3 multiplies by 2^3 = 8."
Set2,35,Which is NOT a typical function of registers/counters?,Data storage,Data transfer,Counting,"Addition of two numbers",d,"Registers store/transfer/count but do not perform arithmetic addition directly (that's ALU)."
Set2,36,"Greedy best-first search selects the next node based on:","f(n) = g(n) + h(n)","g(n) only","h(n) only","Depth of node",c,"Greedy BFS uses only the heuristic h(n), ignoring path cost."
Set2,37,Floating-point multiplication sequence:,"Add exponents, multiply mantissas, normalize and round","Multiply exponents, add mantissas, normalize and round","Add exponents, add mantissas, normalize and round","Multiply exponents, then subtract exponents",a,"Standard IEEE floating-point multiplication steps."
Set2,38,Which automaton recognizes context-free languages?,Finite automaton,Pushdown automaton,Linear bounded automaton,Turing machine,b,"Pushdown automata (with stack) recognize context-free languages."
Set2,39,"Which 3-phase connection provides a neutral for single-phase loads?",Delta (Δ),Open-delta,"Star (Y) with grounded neutral",Delta with center-tap,c,"Star (wye) connection has a neutral point for line-to-neutral loads."
Set2,40,"Balanced delta (each side 3 Ω) to equivalent star branch resistance:",9 Ω,3 Ω,1 Ω,0.33 Ω,c,"RY = RΔ/3 = 3/3 = 1 Ω."
Set2,41,Equivalent of 1 Ω in parallel with 3 Ω:,1.5 Ω,0.75 Ω,0.33 Ω,4 Ω,b,"(1×3)/(1+3) = 3/4 = 0.75 Ω."
Set2,42,The path metric used by RIP:,Bandwidth,Delay,Hop count,Reliability,c,"RIP uses hop count as its metric."
Set2,43,"In RIP, hop count ≥ 16 indicates:",Optimal,Unreachable,Preferred,Temporarily down,b,"16 is treated as infinity (unreachable) in RIP."
Set2,44,"End-to-end reliability and segmentation are functions of the:",Data Link layer,Network layer,Transport layer,Session layer,c,"TCP (Transport layer) handles segmentation, flow control, and reliability."
Set2,45,"The Address Generation Unit (AGU) in a CPU:",Performs floating-point arithmetic,Computes effective memory addresses,Decodes instructions,Schedules instructions,b,"AGU computes addresses for load/store operations."
Set2,46,I2C uses how many signal wires?,1,2,3,4,b,"I2C uses SDA (data) and SCL (clock)."
Set2,47,"Network categories by scope: Arrange by increasing geographic scope",PAN < LAN < MAN < WAN,"LAN < PAN < WAN < MAN","MAN < WAN < PAN < LAN","WAN < MAN < LAN < PAN",a,"Personal Area → Local Area → Metropolitan Area → Wide Area."
Set2,48,"Correct NLP pipeline order:","Pragmatic → Semantic → Syntactic → Lexical","Lexical → Syntactic → Semantic → Pragmatic","Syntactic → Pragmatic → Semantic → Lexical","Semantic → Lexical → Syntactic → Pragmatic",b,"Lexical → Syntactic → Semantic → Pragmatic."
Set2,49,"Which statement is true for a min-heap?","Root has the maximum key","It is a complete binary tree and every parent ≤ its children","It is a full binary tree","In-order traversal gives a sorted list",b,"Min-heap is a complete binary tree where parent ≤ children."
Set2,50,"Pipelining in computer architecture is also called:",Parallel processing,Instruction overlapping,Multiprocessing,Instruction chaining,b,"Pipelining is also known as instruction overlapping."
Set3,51,DDA stands for:,Digital Data Analyzer,Digital Differential Analyzer,Data Distribution Algorithm,Direct Data Access,b,"DDA is Digital Differential Analyzer used for line generation in graphics."
Set3,52,"Which search is implemented using Stack LIFO?",Breadth-First Search,Depth-First Search,Binary Search,Linear Search,b,"DFS uses a stack (LIFO)."
Set3,53,What does Ohm's law state?,"Current equals voltage times resistance","Voltage equals resistance divided by current","Voltage equals current divided by resistance","Voltage equals current times resistance",d,"V = I × R."
Set3,54,What is semiconductor used for?,Conducting electricity fully,Insulating electricity,Controlling electrical current,Storing data permanently,c,"Semiconductors control current (e.g., transistors, diodes)."
Set3,55,"Relation between Line voltage and Phase voltage in Star?","Line voltage = Phase voltage","Line voltage = √3 × Phase voltage","Line voltage = Phase voltage / √3","Line voltage = 2 × Phase voltage",b,"In star: VL = √3 × VP."
Set3,56,Which is not used for data processing or storing purpose?,ALU,Memory,I/O,Register,c,"I/O is for input/output, not processing/storage (though it moves data)."
Set3,57,"Which one is not the operation of flip-flop?",Set,Reset,Toggle,Multiply,d,"Flip-flops do not multiply; that's an ALU operation."
Set3,58,Microprocessor fetch instructions from?,ALU,Register,Memory,I/O Device,c,"Instructions are fetched from memory."
Set3,59,What is the ratio of A4 paper?,1:1,1:√2,√2:1,2:1,b,"A4 aspect ratio is 1:√2 (ISO 216)."
Set3,60,What is not promised by ANN?,Learning from data,Pattern recognition,Exact computation,Adaptability,c,"ANNs are approximate; exact computation is not guaranteed."
Set3,61,What is the number of registered engineers according to pouch?,10000,20000,30000,89263,d,"Given as 89,263 in the source."
Set3,62,Which of the following is not the format specifier?,%d,%s,%t,%f,c,"%t is not a standard C format specifier."
Set3,63,What does vertical lines in sequence diagram represent?,Messages,Objects or actors,Time,Events,b,"Vertical lines (lifelines) represent objects or actors."
Set3,64,Which type of grammar is valid in Finite Automata?,Regular,Context-Free,Context-Sensitive,Unrestricted,a,"Finite automata recognize regular languages (Type-3)."
Set3,65,What is the key characteristic of Universal Turing Machine?,Finite states,Single tape,Simulates any Turing Machine,Limited memory,c,"UTM can simulate any other Turing machine."
Set3,66,What is the meaning of time value of money?,Money grows over time,Money loses value over time,"Money's worth changes with time",Money is constant over time,c,"TVM considers interest and inflation over time."
Set3,67,What is the number of executive members in NEA?,7,11,15,25,d,"Given as 25 in the source."
Set3,68,"Late binding can be achieved by using?",Static variables,Virtual functions,Inline functions,Constants,b,"Virtual functions enable late binding (dynamic dispatch)."
Set3,69,What are two modes of 8086?,Real and Protected,Minimum and Maximum,User and Kernel,Single and Multi,b,"8086 has minimum (single processor) and maximum (multiprocessor) modes."
Set3,70,Which of the following is not the operation of Transport Layer?,Segmentation,Flow control,Routing,Error control,c,"Routing is a Network Layer function."
Set3,71,Which one is Verification and Validation Model?,Waterfall Model,V-Model,Spiral Model,Agile Model,b,"V-Model integrates verification and validation."
Set3,72,What are the three main phases of object-oriented development?,"Analysis, Design, Implementation","Planning, Coding, Testing","Requirement, Development, Deployment","Specification, Integration, Maintenance",a,"Core OO phases: Analysis → Design → Implementation."
Set3,73,Correct sequence of image processing steps?,"Image Acquisition → Feature Extraction → Segmentation → Image Analysis → Preprocessing → Post-processing → Output","Image Acquisition → Preprocessing → Segmentation → Feature Extraction → Image Analysis → Post-processing → Output","Feature Extraction → Image Acquisition → Preprocessing → Segmentation → Image Analysis → Post-processing → Output","Segmentation → Image Acquisition → Feature Extraction → Post-processing → Image Analysis → Preprocessing → Output",b,"Standard order: Acquisition → Preprocessing → Segmentation → Feature Extraction → Analysis → Post-processing → Output."
Set3,74,What is single-ended source?,Source with one output,Source with differential output,Source with multiple inputs,Source with no output,a,"Single-ended source has one output signal referenced to ground."
Set3,75,What does semaphore represent?,Synchronization mechanism,Memory allocation,Data structure,Interrupt handling,a,"Semaphores are used for process synchronization."
Set3,76,What is used for making track of many versions of objects?,Database,Version control,Rackup system,File manager,b,"Version control systems (e.g., Git) track object versions."
Set3,77,Which protocol is used for email?,HTTP,FTP,SMTP,POP,c,"SMTP is used for sending emails."
Set3,78,What type of organization is NEC?,Private,Governmental,Non-profit regulatory,Commercial,b,"Nepal Engineering Council (NEC) is a governmental body."
Set3,79,"What does 'a' represent here? ""print"" ""&d"", a- &10""","Value 10","Address of 10","Printer to integer 10","Syntax error",d,"&10 is invalid; address-of operator cannot be applied to a constant."
Set3,80,"Equal resistors in series with an emf source dissipates 10W. Now, with the same emf source but the 3 equal resistors in parallel, what will be power dissipated?",10 W,30 W,90 W,270 W,c,"Power in parallel = 9 × series power = 90 W."
Set3,81,"A microcontroller is communicating using SPI at 5 MHz. Time for one bit?",0.1 us,0.2 us,0.5 us,1.0 us,b,"T = 1/5MHz = 0.2 μs."
Set3,82,"What will be the outcome if sx and sy < 1?",Object enlarges,Object shrinks,Object rotates,Object remains unchanged,b,"Scaling factors < 1 shrink the object."
Set3,83,"CAR insurance policy is also known as?",Comprehensive Auto Recovery,Collision Auto Repair,Comprehensive Automobile Reimbursement,Collision Automobile Recovery,[Not provided],Answer not found in source.
